,AUD,BGN,BRL,CAD,CHF,CNY,CPY,CZK,DKK,EEK,GBP,GRD,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,LTL,LVL,MTL,MXN,MYR,NOK,NZD,PHP,PLN,ROL,RON,RUB,SEK,SGD,SIT,SKK,THB,TRL,TRY,USD,ZAR
1999,1.6523,,,1.584,1.6003,,0.57884,36.884,7.4355,15.6466,0.65874,325.76,8.2694,7.641,252.77,8386.62,,,77.18,121.32,1267.26,4.2641,0.6256,0.4258,10.1945,4.0498,8.3104,2.0145,41.675,4.2274,16345,,26.5187,8.8075,1.8064,194.4732,44.123,40.335,447238,,1.0658,6.5188
2000,1.5889,1.9477,1.6821,1.3706,1.5579,7.6168,0.57392,35.599,7.4538,15.6466,0.60948,336.63,7.1973,7.482,260.04,7731.57,3.7506,41.3561,72.58,99.47,1043.5,3.6952,0.5592,0.4041,8.7361,3.5101,8.1129,2.0288,40.737,4.0082,19922,,26.0182,8.4452,1.5923,206.6127,42.602,37.032,574816,,0.9236,6.3899
2001,1.7319,1.9482,2.1069,1.3864,1.5105,7.4131,0.57589,34.068,7.4521,15.6466,0.62187,,6.9855,7.413,256.59,9167.71,3.7672,42.2471,87.42,108.68,1154.83,3.5823,0.5601,0.403,8.371,3.4036,8.0484,2.13,45.66,3.6721,26004,,26.151,9.2551,1.6039,217.9797,43.3,39.841,1102425,,0.8956,7.6873
2002,1.7376,1.9492,2.7896,1.4838,1.467,7.8265,0.5753,30.804,7.4305,15.6466,0.62883,,7.375,7.5688,242.96,8785.12,4.48,45.9248,86.18,118.06,1175.5,3.4594,0.581,0.4089,9.1628,3.5933,7.5086,2.0366,48.837,3.8574,31270,,29.7028,9.1611,1.6912,225.9772,42.694,40.637,1439680,,0.9456,9.9072
2003,1.7379,1.949,3.4701,1.5817,1.5212,9.3626,0.58409,31.846,7.4307,15.6466,0.69199,,8.8079,7.4967,253.62,9685.54,5.134,52.61,86.65,130.97,1346.9,3.4527,0.6407,0.4261,12.2144,4.2983,8.0033,1.9438,61.336,4.3996,37551,,34.6699,9.1242,1.9703,233.8493,41.489,46.923,1694851,,1.1312,8.5317
2004,1.6905,1.9533,3.6362,1.6167,1.5438,10.2967,0.58185,31.891,7.4399,15.6466,0.67866,,9.6881,7.4008,251.66,11127.34,5.5706,56.3008,87.14,134.44,1422.62,3.4529,0.6652,0.428,14.0386,4.7273,8.3697,1.8731,69.727,4.5268,40510,,35.8192,9.1243,2.1016,239.0874,40.022,50.077,1777052,,1.2439,8.0092
2005,1.632,1.9558,3.036,1.5087,1.5483,10.1955,0.57683,29.782,7.4518,15.6466,0.6838,,9.6768,7.3247,248.05,12072.83,5.5807,54.8117,78.23,136.85,1273.61,3.4528,0.6962,0.4299,13.5643,4.7119,8.0092,1.766,68.494,4.023,,3.6209,35.1884,9.2822,2.0702,239.5681,38.599,50.068,,1.6771,1.2441,7.9183
2006,1.6668,1.9558,2.7333,1.4237,1.5729,10.0096,0.57578,28.342,7.4591,15.6466,0.68173,,9.7545,7.3376,264.26,11512.37,5.592,56.8435,87.76,146.02,1198.58,3.4528,0.6962,0.4293,13.6936,4.6044,8.0472,1.9373,64.379,3.8959,,3.5258,34.1117,9.2544,1.9941,239.5961,37.234,47.594,,1.809,1.2556,8.5312
2007,1.6348,1.9558,2.6633,1.4678,1.6427,10.4178,0.58263,27.766,7.4506,15.6466,0.68434,,10.6912,7.2239,251.35,12528.33,5.6278,56.4186,87.63,161.25,1272.99,3.4528,0.7001,0.4293,14.9743,4.7076,8.0165,1.8627,63.026,3.7837,,3.3353,35.0183,9.2501,2.0636,,33.775,44.214,,1.7865,1.3705,9.6596
2008,1.7416,1.9558,2.6737,1.5594,1.5874,10.2236,,24.946,7.456,15.6466,0.79628,,11.4541,7.34,251.51,14165.16,5.2561,63.6143,143.83,152.45,1606.09,3.4528,0.7027,,16.2911,4.8893,8.2237,2.077,65.172,3.5121,,3.6826,36.4207,9.6152,2.0762,,31.262,48.475,,1.9064,1.4708,12.059
2009,1.7727,1.9558,2.7674,1.585,1.51,9.5277,,26.435,7.4462,15.6466,0.89094,,10.8114,7.2891,280.33,14443.74,5.4668,67.3611,.,130.34,1772.9,3.4528,0.7057,,18.7989,4.9079,8.7278,2.2121,66.338,4.3276,,4.2399,44.1376,10.6191,2.0241,,,47.804,,2.1631,1.3948,11.6737
2010,1.4423,1.9558,2.3314,1.3651,1.3803,8.9712,,25.284,7.4473,15.6466,0.85784,,10.2994,7.439,275.48,12041.7,4.9457,60.5878,.,116.24,1531.82,3.4528,0.7087,,16.7373,4.2668,8.0043,1.8377,59.739,3.9947,,4.2122,40.2629,9.5373,1.8055,,,42.014,,1.9965,1.3257,9.6984
2011,1.3484,1.9558,2.3265,1.3761,1.2326,8.996,,24.59,7.4506,,0.86788,,10.8362,7.5217,279.37,12206.51,4.9775,64.8859,.,110.96,1541.23,3.4528,0.7063,,17.2877,4.2558,7.7934,1.76,60.26,4.1206,,4.2391,40.8846,9.0298,1.7489,,,42.429,,2.3378,1.392,10.097
2012,1.2407,1.9558,2.5084,1.2842,1.2053,8.1052,,25.149,7.4437,,0.81087,,9.9663,7.5786,289.25,12045.73,4.9536,68.5973,.,102.49,1447.69,3.4528,0.6973,,16.9029,3.9672,7.4751,1.5867,54.246,4.1847,,4.4593,39.9262,8.7041,1.6055,,,39.928,,2.3135,1.2848,10.5511
2013,1.3777,1.9558,2.8687,1.3684,1.2311,8.1646,,25.98,7.4579,,0.84926,,10.3016,7.6344,296.87,13857.5,4.7948,77.93,.,129.66,1453.91,3.4528,0.7015,,16.9641,4.1855,7.8067,1.6206,56.428,4.1975,,4.419,42.337,8.6515,1.6619,,,40.83,,2.5335,1.3281,12.833
2014,1.4719,1.9558,3.1211,1.4661,1.2146,8.1857,,27.536,7.4548,,0.80612,,10.3025,7.6137,308.71,15748.92,4.7449,81.0406,.,140.31,1398.14,3.4528,,,17.655,4.3446,8.3544,1.5995,58.979,4.1843,,4.4437,50.9518,9.0985,1.6823,,,43.147,,2.9065,1.3285,14.4037
2015,1.4777,1.9558,3.7004,1.4186,1.0679,6.9733,,27.279,7.4587,,0.72584,,8.6014,7.5333,310,14870.39,4.3122,71.1956,.,134.31,1256.54,,,,17.6157,4.3373,8.9496,1.593,50.522,4.1841,,4.4454,68.072,9.3535,1.5255,,,38.028,,3.0255,1.1095,14.1723
2016,1.4883,1.9558,3.8561,1.4659,1.0902,7.3522,,27.034,7.4452,,0.81948,,8.5922,7.4637,311.44,14720.83,4.2489,74.3717,.,120.2,1284.18,,,,20.6673,4.5835,9.2906,1.5886,52.556,4.3632,,4.4904,74.1446,9.4689,1.5275,,,39.043,,3.3433,1.1069,16.2645
2017,1.4732,1.9558,3.6054,1.4647,1.1117,7.629,,26.326,7.4386,,0.87667,,8.8045,7.4182,309.19,15118.01,4.0622,73.5324,.,126.71,1276.74,,,,21.3286,4.8527,9.327,1.5897,56.973,4.257,,4.5688,65.9383,9.6351,1.5588,,,38.296,,4.1206,1.1297,15.049
2018,1.5797,1.9558,4.3085,1.5294,1.155,7.8081,,25.647,7.4532,,0.88471,,9.2559,7.418,318.89,16803.22,4.2423,80.7332,127.89,130.4,1299.07,,,,22.7054,4.7634,9.5975,1.7065,62.21,4.2615,,4.654,74.0416,10.2583,1.5926,,,38.164,,5.7077,1.181,15.6186
2019,1.6109,1.9558,4.4134,1.4855,1.1124,7.7355,,25.67,7.4661,,0.87777,,8.7715,7.5384,325.3,15835.27,3.9901,78.8361,137.28,122.01,1305.32,,,,21.5565,4.6374,9.8511,1.6998,57.985,4.2976,,4.7453,72.4553,10.5891,1.5273,,,34.757,,6.3578,1.1195,16.1757
2020,1.6549,1.9558,5.8943,1.53,1.0705,7.8747,,26.455,7.4542,,0.8897,,8.8587,,351.25,16627.37,3.9258,84.6392,154.59,121.85,1345.58,,,,24.5194,4.7959,10.7228,1.7561,56.615,4.443,,4.8383,82.7248,10.4848,1.5742,,,35.708,,8.0547,1.1422,18.7655
